Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ
AXI_GLUE_LOGIC_0/Primitives,22,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0/U_AhbToApbSM/Primitives,24,9,0,0,0,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0/U_ApbAddrData/Primitives,13,88,0,0,0,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0/U_PenableScheduler/Primitives,2,2,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AHBMasterCtrl/Primitives,437,135,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AXIOutReg/Primitives,0,71,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AXISlaveCtrl/Primitives,293,74,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AXISlaveCtrl/U_WSRTBAddrOffset/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,36,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_rdFIFORAM/Primitives,0,69,144,144,0,0,4,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_wrFIFORAM/Primitives,0,37,72,72,0,0,2,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AHBMasterCtrl/Primitives,432,135,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AXIOutReg/Primitives,0,69,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AXISlaveCtrl/Primitives,316,73,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AXISlaveCtrl/U_WSRTBAddrOffset/Primitives,7,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,37,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_rdFIFORAM/Primitives,0,69,144,144,0,0,4,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_wrFIFORAM/Primitives,0,69,144,144,0,0,4,0,0,0,0,0,0,0
COREJTAGDEBUG_0/Primitives,0,0,0,0,0,0,0,0,0,0,3,0,0,0
COREJTAGDEBUG_0/genblk1.UJ_JTAG_0/Primitives,101,16,0,0,0,0,0,0,0,0,0,0,0,0
COREPWM_0/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COREPWM_0/genblk3.corepwm_reg_if/Primitives,285,389,0,0,0,0,0,0,0,0,0,0,0,0
COREPWM_0/genblk5.genblk1.corepwm_timebase/Primitives,150,64,0,0,0,0,0,0,0,0,0,0,0,0
COREPWM_0/genblk6.corepwm_pwm_gen/Primitives,224,4,0,0,0,0,0,0,0,0,0,0,0,0
COREPWM_1/genblk3.corepwm_reg_if/Primitives,145,259,0,0,0,0,0,0,0,0,0,0,0,0
COREPWM_1/genblk5.genblk1.corepwm_timebase/Primitives,214,64,0,0,0,0,0,0,0,0,0,0,0,0
COREPWM_1/genblk6.corepwm_pwm_gen/Primitives,106,2,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/Primitives,460,324,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/data/Primitives,0,0,144,144,0,0,0,4,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/dataArb/Primitives,102,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/fq/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/meta/Primitives,2081,2703,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/metaReadArb/Primitives,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/metaWriteArb/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/tlb/Primitives,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/Primitives,2509,1426,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/alu/Primitives,500,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/bpu/Primitives,80,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/csr/Primitives,742,412,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/div/Primitives,374,119,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/div/WideMult_0_0/Primitives,0,0,72,72,0,0,0,0,2,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/icache/Primitives,248,65,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/icache/icache/Primitives,326,172,252,252,0,0,3,4,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/icache/tlb/Primitives,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/DebugModule_1/Primitives,675,362,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/LevelGateway_28_1/Primitives,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/LevelGateway_29_1/Primitives,3,1,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/LevelGateway_30_1/Primitives,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/NastiIOTileLinkIOConverter_1_1/Primitives,43,10,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/NastiIOTileLinkIOConverter_1_1/gnt_arb/Primitives,58,3,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/NastiIOTileLinkIOConverter_1_1/roq/Primitives,29,20,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/PLIC_1/Primitives,252,69,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/PLIC_1/acq/Primitives,23,67,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/PRCI_1/Primitives,199,129,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/PRCI_1/acq/Primitives,7,49,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Primitives,13,7,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_18_1/Primitives,2,38,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_19_1/Primitives,2,35,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_20_1/Primitives,10,85,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_21_1/Primitives,9,135,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_22_1/Primitives,2,3,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/ROMSlave_1/Primitives,312,59,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/ROMSlave_1/acq/Primitives,6,10,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/Primitives,12,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/TileLinkRecursiveInterconnect_1_1/xbar/ClientUncachedTileLinkIORouter_1_1/Primitives,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/TileLinkRecursiveInterconnect_1_1/xbar/ClientUncachedTileLinkIORouter_1_1/gnt_arb/Primitives,278,7,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/xbar/PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_CLIENT_UNCACHED_TILE_LINK_IO_ROUTER_1/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/xbar/PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_CLIENT_UNCACHED_TILE_LINK_IO_ROUTER_1/gnt_arb/Primitives,52,5,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/ClientTileLinkIOUnwrapper_1/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/ClientTileLinkIOUnwrapper_1/acqArb/Primitives,241,5,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/ClientTileLinkIOUnwrapper_1/acqRoq/Primitives,10,4,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/ClientTileLinkIOUnwrapper_1/relRoq/Primitives,8,1,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_NASTI_IO_TILE_LINK_IO_CONVERTER_1/Primitives,68,10,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_NASTI_IO_TILE_LINK_IO_CONVERTER_1/gnt_arb/Primitives,83,3,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_NASTI_IO_TILE_LINK_IO_CONVERTER_1/roq/Primitives,17,10,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/Queue_10_1/Primitives,3,37,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/Queue_11_1/Primitives,3,34,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/Queue_12_1/Primitives,10,149,0,0,0,0,0,0,0,0,0,0,0,0
