
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. PROC_SUBSYSTEM, 10812, 10603, 4928, 0, 2, 8, 21, 11, 75
.	. AXI_GLUE_LOGIC, 0, 22, 0, 0, 0, 0, 0, 0, 0
.	. COREAHBTOAPB3_19s_0s, 99, 39, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 13, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1, 386, 691, 80, 0, 0, 0, 6, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1, 135, 397, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s, 71, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9, 74, 294, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSRTBAddrOffset, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSTRBPopCntr, 0, 36, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd, 37, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_0, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1_0, 415, 712, 80, 0, 0, 0, 8, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1_0, 135, 392, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s_0, 69, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9_1, 73, 320, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_1, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSTRBPopCntr_1, 0, 37, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_1, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_2, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. COREJTAGDEBUG_85_1s, 16, 103, 0, 0, 0, 0, 0, 3, 0
.	.	. uj_jtag_85, 16, 101, 0, 0, 0, 0, 0, 0, 0
.	. COREPWM_Z12, 457, 116, 528, 0, 0, 0, 0, 0, 0
.	.	. corepwm_pwm_gen_4s_32s_0, 4, 20, 192, 0, 0, 0, 0, 0, 0
.	.	. corepwm_reg_if_Z13, 389, 94, 190, 0, 0, 0, 0, 0, 0
.	.	. corepwm_timebase_32s, 64, 1, 146, 0, 0, 0, 0, 0, 0
.	. COREPWM_Z14, 325, 153, 302, 0, 0, 0, 0, 0, 0
.	.	. corepwm_pwm_gen_2s_32s_0, 2, 4, 96, 0, 0, 0, 0, 0, 0
.	.	. corepwm_reg_if_Z15, 259, 84, 60, 0, 0, 0, 0, 0, 0
.	.	. corepwm_timebase_32s_0, 64, 65, 146, 0, 0, 0, 0, 0, 0
.	. CORESPI_Z18, 191, 302, 23, 0, 0, 0, 2, 0, 0
.	.	. spi_32s_8s_32s_33s_1_1_0_0s_0s, 191, 302, 23, 0, 0, 0, 2, 0, 0
.	.	.	. spi_chanctrl_Z17, 120, 147, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_control_8s, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_fifo_8s_32s_5_0, 18, 28, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_fifo_8s_32s_5_1, 18, 22, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_rf_32s_0_1, 35, 60, 0, 0, 0, 0, 0, 0, 0
.	. CORESPI_Z20, 193, 285, 26, 0, 0, 0, 0, 0, 0
.	.	. spi_32s_8s_1s_33s_0_0_0_0s_0s, 193, 285, 26, 0, 0, 0, 0, 0, 0
.	.	.	. spi_chanctrl_Z19, 120, 161, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_clockmux_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_control_8s_0, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_fifo_8s_1s_0_0, 19, 13, 6, 0, 0, 0, 0, 0, 0
.	.	.	. spi_fifo_8s_1s_0_1, 19, 14, 6, 0, 0, 0, 0, 0, 0
.	.	.	. spi_rf_32s_0_1_0, 35, 57, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z4, 66, 208, 2, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_1_1_0_192_0_0_0_0s, 66, 208, 2, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_192_0s_0_1_0, 54, 54, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0, 6, 104, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3, 5, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 6, 50, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_0, 5, 7, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z7, 63, 182, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_0_1_0_65536_0_0_0_0s, 63, 182, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_0_1_0_65536_0s_0_1_0, 56, 104, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_ADDRDEC_Z5, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 7, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_2, 6, 34, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_Z8, 0, 143, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAPB3_MUXPTOB3, 0, 141, 0, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_19s_0s, 118, 87, 44, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_19s_0s_0, 118, 104, 43, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_19s_0s_1, 118, 101, 43, 0, 0, 0, 0, 0, 0
.	. MSS_SUBSYSTEM_sb, 134, 68, 14, 0, 0, 0, 0, 7, 50
.	.	. CoreConfigP_Z22, 75, 45, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z23, 59, 22, 14, 0, 0, 0, 0, 3, 0
.	.	. MSS_SUBSYSTEM_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 1
.	.	. MSS_SUBSYSTEM_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. MSS_SUBSYSTEM_sb_MSS, 0, 1, 0, 0, 0, 0, 0, 2, 49
.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_1610612736_2s_5s_34s_2s, 7912, 7090, 3676, 0, 2, 8, 3, 1, 0
.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ASYNC_FIFO_1s_36s_0s_2s, 84, 14, 0, 0, 0, 0, 0, 0, 0
.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ASYNC_FIFO_1s_41s_1s_2s, 98, 49, 0, 0, 0, 0, 0, 1, 0
.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_DEBUG_TRANSPORT_MODULE_JTAG_Z16, 96, 200, 4, 0, 0, 0, 0, 0, 0
.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TOP_1610612736, 7634, 6827, 3672, 0, 2, 8, 3, 0, 0
.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ROCKET_TILE_1610612736, 5225, 3940, 3496, 0, 2, 8, 3, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_D_CACHE, 3031, 740, 1915, 0, 0, 4, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ARBITER, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ARBITER_1, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_ARBITER_2, 0, 102, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_D_CACHE_DATA_ARRAY, 0, 0, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_FINISH_QUEUE, 4, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_METADATA_ARRAY, 2703, 183, 1898, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TLB_1, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_FRONTEND_1610612736, 237, 541, 40, 0, 0, 4, 3, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_I_CACHE, 172, 315, 10, 0, 0, 4, 3, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TLB_0, 0, 8, 0, 0, 0, 0, 0, 0, 0
